candles

open;close;high;low;value;volume;begin;end
1399.64;1367.64;1507.06;1361.73;25259424847.91567;0;2021-01-01 00:00:00;2021-01-31 00:00:00
1283.56;1387.46;1434.65;1283.56;27214702048.246235;0;2020-12-01 00:00:00;2020-12-31 00:00:00
1062.09;1281.97;1316.57;1039.51;27894398781.857147;0;2020-11-01 00:00:00;2020-11-30 00:00:00
1181.29;1066.6;1191.19;1056.02;18524286808.23426;0;2020-10-01 00:00:00;2020-10-31 00:00:00
1265.7;1178.51;1283.69;1138.95;22592938408.067;0;2020-09-01 00:00:00;2020-09-30 00:00:00
1235.2;1258.6;1336.58;1234.97;21365021896.579998;0;2020-08-01 00:00:00;2020-08-31 00:00:00
1222.73;1234.44;1277.82;1197.2;18400229413.066;0;2020-07-01 00:00:00;2020-07-31 00:00:00
1240.08;1212.63;1306.27;1196.47;23954238267.317;0;2020-06-01 00:00:00;2020-06-30 00:00:00
1111.28;1219.76;1243.96;1080.63;20427294709.278996;0;2020-05-01 00:00:00;2020-05-31 00:00:00
990.15;1125.03;1170.27;977.48;25804970726.245;0;2020-04-01 00:00:00;2020-04-30 00:00:00
1332.74;1014.44;1368.63;808.79;38592380568.38001;0;2020-03-01 00:00:00;2020-03-31 00:00:00
1509.2;1299.69;1579.6;1279.74;23112881481.660995;0;2020-02-01 00:00:00;2020-02-29 00:00:00
1554.72;1517.07;1651.82;1517.07;21296214448.455;0;2020-01-01 00:00:00;2020-01-31 00:00:00
1438.81;1548.92;1558.24;1410.61;15916446150.383999;0;2019-12-01 00:00:00;2019-12-31 00:00:00
1422.26;1438.45;1487.82;1419.91;18257609321.112;0;2019-11-01 00:00:00;2019-11-30 00:00:00
1335.64;1422.92;1451.26;1300.45;18082014323.078;0;2019-10-01 00:00:00;2019-10-31 00:00:00
1293.9;1333.91;1399.36;1292.86;15099163680.218998;0;2019-09-01 00:00:00;2019-09-30 00:00:00
1350.46;1293.32;1352.72;1233.19;14752161598.225;0;2019-08-01 00:00:00;2019-08-31 00:00:00
